ActiveIngredient,SubmissionType,SubmissionNo,SubmissionStatus,SubmissionStatusDate,SubmissionsPublicNotes,ReviewPriority,brand_name,ATC_A,ATC_B,ATC_C,ATC_D,ATC_G,ATC_H,ATC_J,ATC_L,ATC_M,ATC_N,ATC_P,ATC_R,ATC_S,ATC_V,description,dates,company,condition,dates_clean,approval_date,generic_name,generic_name_fw
SIMEPREVIR SODIUM,ORIG,1,AP,2013-11-22T00:00:00Z,NA,PRIORITY,olysio,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Olysio (simeprevir) is a protease inhibitor for the treatment of chronic hepatitis C virus infection.,"November 22, 2013","Janssen Research & Development, LLC",Chronic Hepatitis C,"November 22, 2013",2013-11-22,simeprevir,simeprevir
SONIDEGIB PHOSPHATE,ORIG,1,AP,2015-07-24T00:00:00Z,NA,STANDARD,odomzo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Odomzo (sonidegib) is a hedgehog pathway inhibitor indicated for the treatment of locally advanced basal cell carcinoma (BCC).,"July 24, 2015",Novartis Pharmaceuticals Corporation,Basal Cell Carcinoma,"July 24, 2015",2015-07-24,sonidegib,sonidegib
PANOBINOSTAT LACTATE,ORIG,1,AP,2015-02-23T00:00:00Z,NA,PRIORITY,farydak,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Farydak (panobinostat) is a histone deacetylase inhibitor for the combination treatment of multiple myeloma.,"February 23, 2015",Novartis Pharmaceuticals Corporation,Multiple Myeloma,"February 23, 2015",2015-02-23,panobinostat,panobinostat
BREXPIPRAZOLE,ORIG,1,AP,2015-07-10T00:00:00Z,NA,STANDARD,rexulti,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Rexulti (brexpiprazole) is a serotonin-dopamine activity modulator (SDAM) for the treatment of schizophrenia and the adjunctive treatment of major depressive disorder.,"July 10, 2015","Otsuka Pharmaceutical Co., Ltd. and H. Lundbeck A/S",Schizophrenia; Major Depressive Disorder,"July 10, 2015",2015-07-10,brexpiprazole,brexpiprazole
TEDIZOLID PHOSPHATE,ORIG,1,AP,2014-06-20T00:00:00Z,NA,PRIORITY,sivextro,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,Sivextro (tedizolid phosphate) is an oxazolidinone antibiotic drug indicated for the treatment of acute bacterial skin and skin structure infections (ABSSSI).,"June 20, 2014","Cubist Pharmaceuticals, Inc.",Skin and Structure Infection,"June 20, 2014",2014-06-20,tedizolid phosphate,tedizolid
APREMILAST,ORIG,1,AP,2014-03-21T00:00:00Z,NA,STANDARD,otezla,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Otezla (apremilast) is a phosphodiesterase 4 (PDE4) inhibitor indicated for the treatment of psoriatic arthritis, plaque psoriasis, and oral ulcers associated with Behçet’s Disease.","March 21, 2014",Celgene Corporation,"Psoriatic Arthritis, Plaque Psoriasis, Behcet's Disease","March 21, 2014",2014-03-21,apremilast,apremilast
ELIGLUSTAT TARTRATE,ORIG,1,AP,2014-08-19T00:00:00Z,NA,PRIORITY,cerdelga,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Cerdelga (eliglustat) is a glucosylceramide synthase inhibitor indicated for the long-
term treatment of adult patients with
Gaucher disease type 1.","August 19, 2014",Genzyme Corporation,Gaucher Disease,"August 19, 2014",2014-08-19,eliglustat,eliglustat
IBRUTINIB,ORIG,1,AP,2013-11-13T00:00:00Z,NA,PRIORITY,imbruvica,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Imbruvica (ibrutinib) is an oral Bruton's tyrosine kinase (BTK) inhibitor for the treatment of mantle cell lymphoma, chronic lymphocytic leukemia, Waldenström’s macroglobulinemia, small lymphocytic lymphoma, marginal zone lymphoma, and chronic graft versus host disease.","November 13, 2013","Janssen Biotech, Inc.",Mantle Cell Lymphoma; Chronic Lymphocytic Leukemia; Waldenström’s Macroglobulinemia; Small Lymphocytic Lymphoma; Marginal Zone Lymphoma; Chronic Graft Versus Host Disease,"November 13, 2013",2013-11-13,ibrutinib,ibrutinib
MACIMORELIN ACETATE,ORIG,1,AP,2017-12-20T00:00:00Z,NA,STANDARD,macrilen,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Macrilen (macimorelin) is a growth hormone (GH) secretagogue receptor agonist indicated for the diagnosis of adult growth hormone deficiency.,"December 20, 2017",Aeterna Zentaris Inc.,Diagnosis of Adult Growth Hormone Deficiency,"December 20, 2017",2017-12-20,macimorelin,macimorelin
TASIMELTEON,ORIG,1,AP,2014-01-31T00:00:00Z,NA,PRIORITY,hetlioz,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Hetlioz (tasimelteon) is a melatonin receptor agonist for the treatment of Non-24-Hour Disorder in the totally blind.,"January 31, 2014",Vanda Pharmaceuticals Inc.,Non-24-Hour Disorder,"January 31, 2014",2014-01-31,tasimelteon,tasimelteon
NETUPITANT; PALONOSETRON HYDROCHLORIDE,ORIG,1,AP,2014-10-10T00:00:00Z,NA,STANDARD,akynzeo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akynzeo (netupitant and palonosetron) is a substance P/neurokinin 1 (NK1) receptor antagonist and serotonin-3 (5-HT3) receptor antagonist fixed-dose combination indicated for the prevention of chemotherapy-induced nausea and vomiting (CINV).,"October 10, 2014",Helsinn Group,Nausea/Vomiting -- Chemotherapy Induced,"October 10, 2014",2014-10-10,netupitant and palonosetron,netupitant
PATIROMER SORBITEX CALCIUM,ORIG,1,AP,2015-10-21T00:00:00Z,NA,STANDARD,veltassa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Veltassa (patiromer) is an oral potassium binder for the treatment of hyperkalemia. ,"October 21, 2015","Relypsa, Inc. ",Hyperkalemia,"October 21, 2015",2015-10-21,patiromer,patiromer
CHOLIC ACID,ORIG,1,AP,2015-03-17T00:00:00Z,NA,PRIORITY,cholbam,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cholbam (cholic acid) is a bile acid preparation for the treatment of patients with bile acid synthesis disorders due to single enzyme defects, and for patients with peroxisomal disorders (including Zellweger spectrum disorders).","March 17, 2015",Asklepion Pharmaceuticals LLC,Bile Acid Synthesis Disorders,"March 17, 2015",2015-03-17,cholic acid,cholic
CERITINIB,ORIG,1,AP,2014-04-29T00:00:00Z,NA,PRIORITY,zykadia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Zykadia (ceritinib) is a kinase inhibitor indicated for the treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer.,"April 29, 2014",Novartis Pharmaceuticals Corporation,Non-Small Cell Lung Cancer,"April 29, 2014",2014-04-29,ceritinib,ceritinib
NINTEDANIB ESYLATE,ORIG,1,AP,2014-10-15T00:00:00Z,NA,PRIORITY,ofev,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ofev (nintedanib) is a small molecule tyrosine kinase inhibitor (TKI) indicated for the treatment of idiopathic pulmonary fibrosis, and systemic sclerosis-associated interstitial lung disease (SSc-ILD).","October 15, 2014","Boehringer Ingelheim Pharmaceuticals, Inc.",Idiopathic Pulmonary Fibrosis; Sclerosis-Associated Interstitial Lung Disease,"October 15, 2014",2014-10-15,nintedanib,nintedanib
LEDIPASVIR; SOFOSBUVIR,ORIG,1,AP,2014-10-10T00:00:00Z,NA,PRIORITY,harvoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvoni (ledipasvir and sofosbuvir) is a fixed-dose combination of ledipasvir, a hepatitis C virus
(HCV) NS5A inhibitor, and sofosbuvir, an HCV nucleotide analog NS5B polymerase inhibitor, indicated for the treatment of chronic hepatitis C virus (HCV) in adults and pediatric patients 3 years of age and older:","October 10, 2014","Gilead Sciences, Inc.",Chronic Hepatitis C,"October 10, 2014",2014-10-10,ledipasvir and sofosbuvir,ledipasvir
BRIVARACETAM,ORIG,1,AP,2016-02-18T00:00:00Z,"FR Notice on DEA Scheduling; Date of Approval � May 12, 2016",STANDARD,briviact,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Briviact (brivaracetam) is a selective, high-affinity synaptic vesicle protein 2A ligand and analog of levetiracetam indicated for the treatment of partial-onset seizures in patients with epilepsy.","February 19, 2016","UCB, Inc.",Epilepsy,"February 19, 2016",2016-02-19,brivaracetam,brivaracetam
IDELALISIB,ORIG,1,AP,2014-07-23T00:00:00Z,NA,STANDARD,zydelig,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Zydelig (idelalisib) is a phosphoinositide 3-kinase (PI3K) delta inhibitor for the treatment of chronic lymphocytic leukemia, relapsed follicular B-cell non-Hodgkin lymphoma, and relapsed small lymphocytic lymphoma.","July 23, 2014","Gilead Sciences, Inc.","non-Hodgkin's Lymphoma, Chronic Lymphocytic Leukemia, Follicular Lymphoma","July 23, 2014",2014-07-23,idelalisib,idelalisib
IVACAFTOR; LUMACAFTOR,ORIG,1,AP,2015-07-02T00:00:00Z,NA,PRIORITY,orkambi,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Orkambi (ivacaftor and lumacaftor) is a CFTR potentiator and CFTR corrector combination for the treatment of the underlying cause of cystic fibrosis in patients 2 years and older with two copies of the F508del mutation in their CFTR gene.,"July 2, 2015",Vertex Pharmaceuticals Incorporated,Cystic Fibrosis,"July 2, 2015",2015-07-02,ivacaftor and lumacaftor,ivacaftor
IVABRADINE HYDROCHLORIDE,ORIG,1,AP,2015-04-15T00:00:00Z,NA,PRIORITY,corlanor,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Corlanor (ivabradine) is a hyperpolarization-activated cyclic nucleotide-gated channel blocker indicated for the treatment of chronic heart failure.,"April 15, 2015",Amgen Inc.,Chronic Heart Failure,"April 15, 2015",2015-04-15,ivabradine,ivabradine
OLAPARIB,ORIG,1,AP,2014-12-19T00:00:00Z,NA,PRIORITY,lynparza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Viekira Pak (ombitasvir/paritaprevir/ritonavir with dasabuvir) is an NS5A inhibitor, NS3/4A
protease inhibitor and CYP3A inhibitor combination co-packaged with a non-nucleoside NS5B palm polymerase inhibitor for the treatment of patients with genotype 1 chronic hepatitis C virus (HCV) infection.","December 19, 2014",AstraZeneca,"Ovarian Cancer, Fallopian Tube Cancer, Peritoneal Cancer, Breast Cancer, Pancreatic Cancer","December 19, 2014",2014-12-19,ombitasvir/paritaprevir/ritonavir with dasabuvir,ombitasvir
COBIMETINIB FUMARATE,ORIG,1,AP,2015-11-10T00:00:00Z,NA,PRIORITY,cotellic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Cotellic (cobimetinib) is a kinase inhibitor indicated for use in combination with vemurafenib for the treatment of advanced melanoma with a BRAF V600E or V600K mutation.,"November 10, 2015","Genentech, Inc.",Melanoma -- Metastatic,"November 10, 2015",2015-11-10,cobimetinib,cobimetinib
BELINOSTAT,ORIG,1,AP,2014-07-03T00:00:00Z,NA,PRIORITY,beleodaq,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Beleodaq (belinostat) is a histone deacetylase (HDAC) inhibitor for the treatment of peripheral T-cell lymphoma (PTCL).,"July 3, 2014","Spectrum Pharmaceuticals, Inc.",Peripheral T-cell Lymphoma,"July 3, 2014",2014-07-03,belinostat,belinostat
FINAFLOXACIN,ORIG,1,AP,2014-12-17T00:00:00Z,NA,PRIORITY,xtoro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xtoro (finafloxacin otic suspension) is a fluoroquinolone antimicrobial for the treatment of acute otitis externa, commonly known as swimmer’s ear.","December 17, 2014","Alcon Laboratories, Inc.",Otitis Externa,"December 17, 2014",2014-12-17,finafloxacin otic suspension,finafloxacin
EDOXABAN TOSYLATE,ORIG,1,AP,2015-01-08T00:00:00Z,NA,STANDARD,savaysa,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Savaysa (edoxaban) is an oral, once-daily factor Xa inhibitor anticoagulant indicated for the prevention of stroke and systemic embolism in patients with nonvalvular atrial fibrillation, and for the treatment of deep vein thrombosis, and pulmonary embolism.","January 8, 2015Company: Daiichi Sankyo ",Daiichi Sankyo Company,"Prevention of Thromboembolism in Atrial Fibrillation, Deep Vein Thrombosis, Pulmonary Embolism","January 8, 2015",2015-01-08,edoxaban,edoxaban
DEOXYCHOLIC ACID,ORIG,1,AP,2015-04-29T00:00:00Z,NA,STANDARD,kybella,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kybella (deoxycholic acid) is a cytolytic drug indicated to improve the appearance of fullness associated with submental fat (double chin).,"April 29, 2015","Allergan, Inc.",Submental Fullness,"April 29, 2015",2015-04-29,deoxycholic acid,deoxycholic
ORITAVANCIN DIPHOSPHATE,ORIG,1,AP,2014-08-06T00:00:00Z,NA,PRIORITY,orbactiv,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Orbactiv (oritavancin) is a semi-synthetic lipoglycopeptide antibiotic for the treatment of acute bacterial skin and skin structure infections (ABSSSI).,"August 6, 2014Company: The Medicines ",The Medicines Company,Skin and Structure Infection,"August 6, 2014",2014-08-06,oritavancin,oritavancin
PERAMIVIR,ORIG,1,AP,2014-12-19T00:00:00Z,NA,STANDARD,rapivab,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Soolantra (ivermectin) is a topical antiparasitic with anti-inflammatory properties for the treatment of rosacea potentially caused by the microscopic skin mite Demodex folliculorum.,"December 19, 2014","BioCryst Pharmaceuticals, Inc.",Influenza,"December 19, 2014",2014-12-19,ivermectin,ivermectin
ETEPLIRSEN,ORIG,1,AP,2016-09-19T00:00:00Z,NA,PRIORITY,exondys 51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Exondys 51 (eteplirsen) is an antisense oligonucleotide indicated for the treatment of
Duchenne muscular dystrophy (DMD) in patients who have a confirmed
mutation of the DMD gene that is amenable to exon 51 skipping.","September 19, 2016",Sarepta Therapeutics,Duchenne Muscular Dystrophy,"September 19, 2016",2016-09-19,eteplirsen,eteplirsen
AVIBACTAM SODIUM; CEFTAZIDIME,ORIG,1,AP,2015-02-25T00:00:00Z,NA,PRIORITY,avycaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Avycaz (avibactam and ceftazidime) is a next generation, non-β lactam β-lactamase inhibitor and third-generation, antipseudomonal cephalosporin antibiotic combination for the treatment of complicated intra-abdominal infections, complicated urinary tract infections, hospital-acquired bacterial pneumonia, and ventilator-associated bacterial pneumonia.","February 25, 2015",Actavis plc,"Intraabdominal Infection, Urinary Tract Infection, Pneumonia","February 25, 2015",2015-02-25,avibactam and ceftazidime,avibactam
ROLAPITANT HYDROCHLORIDE,ORIG,1,AP,2015-09-01T00:00:00Z,NA,STANDARD,varubi,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Varubi (rolapitant) is a substance P/neurokinin 1 (NK1) receptor antagonist indicated for use in the prevention of delayed nausea and vomiting associated with emetogenic chemotherapy.,"September 1, 2015",Tesaro Inc.,Nausea/Vomiting -- Chemotherapy Induced,"September 1, 2015",2015-09-01,rolapitant,rolapitant
DASABUVIR SODIUM ; OMBITASVIR; PARITAPREVIR; RITONAVIR,ORIG,1,AP,2014-12-19T00:00:00Z,NA,PRIORITY,viekira pak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zerbaxa (ceftolozane and tazobactam) is a cephalosporin and beta-lactamase inhibitor combination for the treatment of:,"December 19, 2014",AbbVie Inc.,Chronic Hepatitis C,"December 19, 2014",2014-12-19,ceftolozane and tazobactam,ceftolozane
STIRIPENTOL,ORIG,1,AP,2018-08-20T00:00:00Z,NA,PRIORITY,diacomit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Diacomit (stiripentol) is an anticonvulsant indicated for the treatment of seizures associated with Dravet syndrome in patients 2 years of age and older taking clobazam.,"August 20, 2018",Biocodex,Dravet Syndrome,"August 20, 2018",2018-08-20,stiripentol,stiripentol
OLODATEROL HYDROCHLORIDE; TIOTROPIUM BROMIDE,ORIG,1,AP,2015-05-21T00:00:00Z,NA,STANDARD,stiolto respimat,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Stiolto Respimat (olodaterol and tiotropium bromide) is a long-acting beta agonist (LABA) and long-acting muscarinic antagonist (LAMA) fixed-dose combination for the treatment of chronic obstructive pulmonary disease (COPD).,"May 21, 2015","Boehringer Ingelheim Pharmaceuticals, Inc.",Chronic Obstructive Pulmonary Disease,"May 21, 2015",2015-05-21,olodaterol and tiotropium bromide,olodaterol
CEFTOLOZANE SULFATE; TAZOBACTAM SODIUM,ORIG,1,AP,2014-12-19T00:00:00Z,NA,PRIORITY,zerbaxa,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Opdivo (nivolumab) is a programmed death receptor-1 (PD-1) blocking antibody for the treatment of advanced melanoma, advanced non-small cell lung cancer, advanced small cell lung cancer, advanced renal cell carcinoma, classical Hodgkin lymphoma, advanced squamous cell carcinoma of the head and neck, urothelial carcinoma, MSI-H or dMMR metastatic colorectal cancer, and hepatocellular carcinoma.","December 19, 2014","Cubist Pharmaceuticals, Inc.","Intraabdominal Infection, Urinary Tract Infection, Pneumonia","December 19, 2014",2014-12-19,nivolumab,nivolumab
DACLATASVIR DIHYDROCHLORIDE,ORIG,1,AP,2015-07-24T00:00:00Z,NA,PRIORITY,daklinza,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Daklinza (daclatasvir) is an NS5A inhibitor indicated for use in combination with sofosbuvir for the treatment of chronic hepatitis C virus (HCV) genotype 1 or genotype 3 infection.,"July 24, 2015Company: Bristol-Myers Squibb ",Bristol-Myers Squibb Company,Chronic Hepatitis C,"July 24, 2015",2015-07-24,daclatasvir,daclatasvir
ELUXADOLINE,ORIG,1,AP,2015-05-27T00:00:00Z,NA,PRIORITY,viberzi,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Viberzi (eluxadoline) is a mu-opioid receptor agonist indicated for the treatment of irritable bowel syndrome with diarrhea (IBS-D) in adults. ,"May 27, 2015","Allergan, Inc.",Irritable Bowel Syndrome,"May 27, 2015",2015-05-27,eluxadoline,eluxadoline
LENVATINIB MESYLATE,ORIG,1,AP,2015-02-13T00:00:00Z,NA,PRIORITY,lenvima,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Lenvima (lenvatinib) is a multiple receptor tyrosine kinase (RTK) inhibitor for the treatment of  thyroid cancer, renal cell carcinoma, hepatocellular carcinoma, and endometrial carcinoma.","February 13, 2015",Eisai Inc.,"Thyroid Cancer, Renal Cell Carcinoma, Hepatocellular Carcinoma, Endometrial Carcinoma","February 13, 2015",2015-02-13,lenvatinib,lenvatinib
SODIUM ZIRCONIUM CYCLOSILICATE,ORIG,1,AP,2018-05-18T00:00:00Z,NA,STANDARD,lokelma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Lokelma (sodium zirconium cyclosilicate) is a potassium binder indicated for the treatment of hyperkalemia in adults.,"May 18, 2018",AstraZeneca,Hyperkalemia,"May 18, 2018",2018-05-18,sodium zirconium cyclosilicate,sodium
PALBOCICLIB,ORIG,1,AP,2015-02-03T00:00:00Z,NA,PRIORITY,ibrance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ibrance (palbociclib) is a cyclin-dependent kinase 4/6 (CDK4/6) inhibitor indicated for the treatment of adult patients with hormone receptor (HR)-positive, human epidermal growth factor
receptor 2 (HER2)-negative advanced or metastatic breast cancer in combination with:","February 3, 2015",Pfizer Inc.,Breast Cancer,"February 3, 2015",2015-02-03,palbociclib,palbociclib
SAFINAMIDE MESYLATE,ORIG,1,AP,2017-03-21T00:00:00Z,NA,STANDARD,xadago,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Xadago (safinamide) is a monoamine oxidase type B (MAO-B) inhibitor indicated as an adjunctive treatment to levodopa/carbidopa in patients with Parkinson’s
disease (PD) experiencing “off” episodes. ","March 21, 2017",Newron Pharmaceuticals S.p.A.,Parkinson's Disease,"March 21, 2017",2017-03-21,safinamide,safinamide
PIMAVANSERIN TARTRATE,ORIG,1,AP,2016-04-29T00:00:00Z,NA,PRIORITY,nuplazid,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Nuplazid (pimavanserin) is a non-dopaminergic, selective serotonin inverse agonist (SSIA) for the treatment of psychosis associated with Parkinson’s disease. ","April 29, 2016",Acadia Pharmaceuticals Inc. ,Parkinson’s Disease Psychosis,"April 29, 2016",2016-04-29,pimavanserin,pimavanserin
ISAVUCONAZONIUM SULFATE,ORIG,1,AP,2015-03-06T00:00:00Z,NA,PRIORITY,cresemba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cresemba (isavuconazonium) is an azole antifungal indicated for the treatment of invasive aspergillosis and invasive mucormycosis.,"March 6, 2015","Astellas Pharma US, Inc.",Invasive Aspergillosis; Invasive Mucormycosis,"March 6, 2015",2015-03-06,isavuconazonium,isavuconazonium
ARIPIPRAZOLE LAUROXIL,ORIG,1,AP,2015-10-05T00:00:00Z,NA,STANDARD,aristada,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,"Aristada (aripiprazole lauroxil) is an extended-release injectable atypical antipsychotic with one-month, six-week, and two-month dosing options for the treatment of schizophrenia. ","October 5, 2015",Alkermes plc ,Schizophrenia,"October 5, 2015",2015-10-05,aripiprazole lauroxil,aripiprazole
COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE FUMARATE,ORIG,1,AP,2015-11-05T00:00:00Z,NA,STANDARD,genvoya,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"Genvoya (elvitegravir, cobicistat, emtricitabine and tenofovir alafenamide or E/C/F/TAF) is an antiretroviral combination for the treatment of HIV infection.","November 5, 2015","Gilead Sciences, Inc.",HIV Infection,"November 5, 2015",2015-11-05,"elvitegravir, cobicistat, emtricitabine and tenofovir alafenamide or E/C/F/TAF",elvitegravir
SACUBITRIL; VALSARTAN,ORIG,1,AP,2015-07-07T00:00:00Z,NA,PRIORITY,entresto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entresto (sacubitril and valsartan) is a neprilysin inhibitor and angiotensin II receptor blocker combination indicated:,"July 7, 2015",Novartis Pharmaceuticals Corporation,Heart Failure,"July 7, 2015",2015-07-07,sacubitril and valsartan,sacubitril
CRISABOROLE,ORIG,1,AP,2016-12-14T00:00:00Z,NA,STANDARD,eucrisa,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Eucrisa (crisaborole) is a novel, non-steroidal topical anti-inflammatory phosphodiesterase-4 (PDE-4) inhibitor indicated for the treatment of mild-to-moderate atopic dermatitis.","December 14, 2016","Pfizer, Inc.",Atopic Dermatitis,"December 14, 2016",2016-12-14,crisaborole,crisaborole
LATANOPROSTENE BUNOD,ORIG,1,AP,2017-11-02T00:00:00Z,NA,STANDARD,vyzulta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vyzulta (latanoprostene bunod) is a nitric oxide donating prostaglandin receptor agonist for the treatment of patients with open angle glaucoma or ocular hypertension.,"November 2, 2017","Valeant Pharmaceuticals International, Inc.","Glaucoma (Open Angle), Intraocular Hypertension","November 2, 2017",2017-11-02,latanoprostene bunod,latanoprostene
BARICITINIB,ORIG,1,AP,2018-05-31T00:00:00Z,NA,STANDARD,olumiant,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Olumiant (baricitinib) is a Janus kinase (JAK) inhibitor for the treatment of rheumatoid arthritis.,"May 31, 2018Company: Eli Lilly and ",Eli Lilly and Company and Incyte Corporation ,Rheumatoid Arthritis,"May 31, 2018",2018-05-31,baricitinib,baricitinib
SELEXIPAG,ORIG,1,AP,2015-12-21T00:00:00Z,NA,STANDARD,uptravi,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Uptravi (selexipag) is an oral prostacyclin receptor agonist indicated for the treatment of pulmonary arterial hypertension.,"December 21, 2015","Actelion Pharmaceuticals US, Inc.",Pulmonary Arterial Hypertension,"December 21, 2015",2015-12-21,selexipag,selexipag
TRABECTEDIN,ORIG,1,AP,2015-10-23T00:00:00Z,NA,PRIORITY,yondelis,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yondelis (trabectedin) is a cytotoxic antitumor agent for the treatment of unresectable or metastatic liposarcoma or leiomyosarcoma, two common subtypes of soft tissue sarcoma.

","October 23, 2015","Janssen Biotech, Inc.",Soft Tissue Sarcoma,"October 23, 2015",2015-10-23,trabectedin,trabectedin
